Anil Kumar Sah, Right hand Bat, Right arm Offbreak, Wicketkeeper, Kantipur Gurkhas,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321735.png)"
Kushal Malla, Left hand Bat, Slow Left arm Orthodox, Batting Allrounder, Nepal,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330446.png)"
Joshua Brian Little, Right hand Bat, Left arm Fast medium, Bowler, Ireland,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/367800/367860.png)"
Daryl Joseph Mitchell, Right hand Bat, Right arm Medium,, New Zealand,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383147.png)"
Matthew Henry Cross, Right hand Bat, Wicketkeeper, Wicketkeeper Batter, Scotland,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316680.png)"
Shaheen Shah Afridi, Left hand Bat, Left arm Fast, Bowler, Pakistan,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322200/322250.png)"
Rohit Kumar Paudel, Right hand Bat, Right arm Offbreak, Batting Allrounder, Nepal,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330466.png)"
Kyle Rico Mayers, Left hand Bat, Right arm Medium, Batting Allrounder, West Indies,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322000/322024.png)"
Jaker Ali Anik, Right hand Bat, Wicketkeeper, Batter, Bangladesh,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/349300/349343.png)"
Finnley Hugh Allen, Right hand Bat, Occasional Wicketkeeper, Top order Batter, New Zealand,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383164.png)"
Ravindrasinh Anirudhsinh Jadeja, Left hand Bat, Slow Left arm Orthodox, Allrounder, India,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316600/316600.png)"
Charles Jordan Alewa Amini, Left hand Bat, Legbreak, Allrounder, Papua New Guinea,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321100/321138.png)"
Fakhar Zaman, Left hand Bat, Slow Left arm Orthodox, Opening Batter, Pakistan,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/320400/320449.png)"
Pasqual Handi Kamindu Dilanka Mendis, Left hand Bat, Right arm Offbreak, Allrounder, Sri Lanka,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/329900/329938.png)"
Dipendra Singh Airee, Right hand Bat, Right arm Medium, Middle order Batter, Nepal,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330438.png)"
Marco Jansen, Right hand Bat, Left arm Medium fast, Bowling Allrounder, South Africa,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/337100/337189.png)"
Asadollah Vala, Left hand Bat, Right arm Offbreak, Batter, Papua New Guinea,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321100/321136.png)"
Shadley Claude van Schalkwyk, Left hand Bat, Right arm Medium, Allrounder, United States of America,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/382800/382834.png)"
Zane Edward Green, Left hand Bat, Wicketkeeper, Wicketkeeper Batter, Namibia,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/350300/350307.png)"
Kane Stuart Williamson, Right hand Bat, Right arm Offbreak, Top order Batter, New Zealand,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383172.png)"
Taskin Ahmed, Left hand Bat, Right arm Fast,, Bangladesh,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316700/316703.png)"
Matthew Scott Wade, Left hand Bat, Right arm Medium,, Australia,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/316500/316594.png)"
Zeeshan Maqsood, Left hand Bat, Slow Left arm Orthodox, Opening Batter, Oman,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321700/321792.png)"
Juma Miyagi, Right hand Bat,, Right arm Medium fast, Uganda,"(https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/381600/381675.5.jpg)"
Mitchell Josef Santner, Left hand Bat, Slow Left arm Orthodox, Bowling Allrounder, New Zealand,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383100/383180.png)"
Aryan Dutt, Right hand Bat, Right arm Offbreak, Bowler, Netherlands,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/368000/368048.png)"
Logan Verjus van Beek, Right hand Bat, Right arm Medium fast, Bowler, Netherlands,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/331100/331170.png)"
Pargat Singh, Right hand Bat, Right arm Offbreak,, Canada,"(https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/381700/381799.3.jpg)"
Shakeel Ahmed, Left hand Bat, Slow Left arm Orthodox,, Oman,"(https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/381900/381930.2.jpg)"
Hiri Hiri, Right hand Bat, Right arm Offbreak, Middle order Batter, Papua New Guinea,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321100/321144.png)"
Kushal Bhurtel, Right hand Bat, Legbreak Googly, Opening Batter, Nepal,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/330400/330443.png)"
Chad Aiwati Soper, Right hand Bat, Right arm Medium fast, Bowler, Papua New Guinea,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321100/321137.png)"
Milind Kumar, Right hand Bat, Right arm Offbreak, Allrounder, United States of America,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/383200/383211.png)"
Iftikhar Ahmed, Right hand Bat, Right arm Offbreak, Middle order Batter, Pakistan,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/322100/322153.png)"
Saim Ayub, Left hand Bat, Right arm Medium fast, Top order Batter, Pakistan,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/326400/326498.png)"
Curtis Campher, Right hand Bat, Right arm Medium fast, Allrounder, Ireland,"(https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_640,q_50/lsci/db/PICTURES/CMS/321300/321343.png)"
